Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2002-01-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-01-31,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-02-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-03-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-04-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-05-31,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-06-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-07-31,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-08-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-09-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-10-31,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-01,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-07,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-08,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-14,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-15,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-21,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-22,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-28,100.0,100.0,100.0,100.0,0.0,0.0
2002-11-29,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-02,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-03,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-04,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-05,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-06,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-09,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-10,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-11,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-12,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-13,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-16,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-17,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-18,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-19,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-20,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-23,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-24,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-25,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-26,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-27,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-30,100.0,100.0,100.0,100.0,0.0,0.0
2002-12-31,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-29,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-31,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-31,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-29,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-29,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-06-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-07-25,100.0,100.0,100.0,100.0,0.0,0.0
